Provider,Phys_Count,Patient_Count,Claim_Count,Service_Type,Both_Service,Inpatient,Outpatient,DuplicateClaims,Duplicate_Claims_Percent,AvgClaimDuration,Avg_Cost,Avg_Age,Gender1,Gender2,Race1,Race2,Race3,Race5,ChronicCond_Alzheimer,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,PotentialFraud,NetworkDegree,isFraudConnected,NoPhysicianCount
PRV51017,114,420,763,Outpatient,0,0,1,496,0.65,1.4600262123197902,276.1992136304063,72,183,237,336,82,1,1,1193,1203,1427,1284,1218,1001,944,1253,1327,1453,No,6.0,0.0,2.0
PRV51081,4,131,364,Both_Service,1,0,0,328,0.9,1.6346153846153846,666.3956043956044,70,62,69,105,23,1,2,555,531,696,627,568,472,427,627,629,678,No,0.0,0.0,2.0
PRV51123,21,28,43,Both_Service,1,0,0,24,0.56,3.0697674418604652,1090.5116279069769,69,15,13,23,1,3,1,66,69,85,69,66,52,55,82,71,85,No,0.0,0.0,0.0
PRV51139,34,42,60,Both_Service,1,0,0,34,0.57,2.566666666666667,1598.0,74,18,24,34,4,3,1,98,95,111,104,85,73,72,103,108,115,No,1.0,0.0,0.0
PRV51140,6,394,697,Both_Service,1,0,0,420,0.6,2.2266857962697273,1060.0659971305595,72,189,205,355,9,21,9,1113,1112,1282,1156,1095,888,873,1178,1158,1314,No,1.0,0.0,1.0
PRV51141,9,37,85,Outpatient,0,0,1,28,0.33,1.6823529411764706,286.11764705882354,75,18,19,31,2,2,2,148,147,162,148,139,115,117,150,149,165,No,0.0,0.0,1.0
PRV51143,27,68,113,Outpatient,0,0,1,72,0.64,1.2920353982300885,266.9911504424779,72,37,31,61,1,4,2,174,190,203,200,183,159,162,191,198,220,No,3.0,0.0,2.0
PRV51145,37,161,298,Both_Service,1,0,0,192,0.64,4.791946308724833,9138.79865771812,73,70,91,137,9,6,9,441,442,529,470,463,370,350,486,484,543,Yes,1.0,1.0,0.0
PRV51146,78,334,513,Both_Service,1,0,0,322,0.63,3.6354775828460038,5381.122807017544,73,144,190,306,11,12,5,811,755,933,821,797,652,602,836,845,971,Yes,7.0,1.0,1.0
PRV51148,61,263,494,Both_Service,1,0,0,328,0.66,1.937246963562753,1560.3036437246963,73,123,140,221,17,18,7,806,774,899,840,758,634,600,817,826,936,Yes,7.0,1.0,1.0
PRV51149,25,136,221,Both_Service,1,0,0,146,0.66,4.51131221719457,8120.307692307692,71,61,75,121,2,10,3,336,299,413,331,322,270,259,347,352,400,Yes,1.0,1.0,0.0
PRV51151,97,225,352,Both_Service,1,0,0,238,0.68,1.7414772727272727,926.1363636363636,73,112,113,173,11,36,5,539,537,646,566,527,454,431,596,586,662,No,6.0,0.0,0.0
PRV51153,52,83,128,Both_Service,1,0,0,82,0.64,1.5625,726.40625,73,41,42,69,3,6,5,210,206,237,211,182,163,159,209,212,243,No,2.0,0.0,1.0
PRV51154,4,147,242,Outpatient,0,0,1,162,0.67,1.3677685950413223,291.3223140495868,74,63,84,132,4,6,5,382,388,447,404,361,314,319,394,384,452,No,0.0,0.0,1.0
PRV51155,1,110,168,Outpatient,0,0,1,106,0.63,1.0773809523809523,220.83333333333334,73,49,61,97,4,5,4,255,284,306,285,262,222,224,292,281,320,No,0.0,0.0,0.0
PRV51156,3,425,777,Outpatient,0,0,1,470,0.6,1.3564993564993566,279.7940797940798,73,186,239,378,12,27,8,1276,1266,1439,1289,1222,1023,978,1300,1294,1485,No,1.0,0.0,0.0
PRV51159,100,506,845,Both_Service,1,0,0,552,0.65,1.8236686390532544,1550.5846153846153,73,228,278,446,21,23,16,1338,1353,1542,1404,1322,1090,1064,1409,1430,1587,Yes,4.0,1.0,3.0
PRV51160,23,110,170,Both_Service,1,0,0,112,0.66,4.6,7927.588235294118,73,38,72,96,4,8,2,254,233,297,255,256,208,207,267,272,303,No,2.0,0.0,1.0
PRV51164,8,334,569,Both_Service,1,0,0,356,0.63,1.8418277680140598,1646.1546572934974,73,148,186,299,10,20,5,941,904,1061,942,867,752,693,960,955,1074,No,1.0,0.0,2.0
PRV51165,62,97,142,Both_Service,1,0,0,88,0.62,2.556338028169014,3352.056338028169,75,47,50,89,5,2,1,222,218,267,238,220,182,178,234,254,266,No,4.0,0.0,0.0
PRV51167,22,182,277,Outpatient,0,0,1,174,0.63,1.7545126353790614,288.8447653429603,74,72,110,157,10,11,4,436,437,506,466,434,346,335,473,469,533,No,1.0,0.0,0.0
PRV51168,14,86,136,Both_Service,1,0,0,98,0.72,0.8823529411764706,1094.5735294117646,73,36,50,70,3,9,4,211,221,256,234,218,180,161,223,223,261,No,1.0,0.0,0.0
PRV51169,51,74,124,Outpatient,0,0,1,94,0.76,1.4838709677419355,246.3709677419355,74,32,42,65,3,4,2,198,193,232,213,190,162,165,195,207,232,No,2.0,0.0,0.0
PRV51175,21,39,68,Outpatient,0,0,1,54,0.79,0.7352941176470589,269.2647058823529,71,13,26,34,1,2,2,98,102,127,117,100,90,79,124,111,127,No,1.0,0.0,0.0
PRV51176,129,399,714,Outpatient,0,0,1,538,0.75,2.1848739495798317,353.1372549019608,73,181,218,328,29,35,7,1107,1121,1322,1200,1105,909,869,1174,1213,1337,No,1.0,0.0,3.0
PRV51180,3,86,198,Both_Service,1,0,0,138,0.7,1.8080808080808082,858.7979797979798,74,39,47,76,2,6,2,319,304,380,325,318,261,252,309,324,377,No,1.0,0.0,0.0
PRV51183,8,105,154,Both_Service,1,0,0,82,0.53,2.6363636363636362,3537.8311688311687,72,46,59,94,2,8,1,253,229,286,251,228,191,189,253,250,283,No,0.0,0.0,0.0
PRV51189,11,51,81,Outpatient,0,0,1,50,0.62,0.691358024691358,144.5679012345679,74,19,32,45,3,2,1,142,135,147,147,126,107,116,133,146,154,No,0.0,0.0,0.0
PRV51190,23,64,108,Both_Service,1,0,0,84,0.78,0.5092592592592593,623.1481481481482,73,27,37,57,2,2,3,163,171,195,177,158,147,135,183,171,209,No,3.0,0.0,0.0
PRV51196,2,432,1011,Outpatient,0,0,1,584,0.58,1.6043521266073195,295.5984174085064,74,182,250,381,8,26,17,1646,1639,1862,1712,1593,1303,1241,1740,1672,1924,No,0.0,0.0,4.0
PRV51204,3,398,724,Outpatient,0,0,1,450,0.62,1.8950276243093922,325.35911602209944,73,176,222,360,7,20,11,1177,1172,1339,1247,1153,964,910,1209,1219,1366,No,0.0,0.0,0.0
