Provider,Phys_Count,Patient_Count,Norm_Patient_Count,Claim_Count,Norm_Claim_Count,Service_Type,Both_Service,Inpatient,Outpatient,Inpatient_Count,Outpatient_Count,Norm_Inpatient_Count,Norm_Outpatient_Count,DuplicateClaims,Duplicate_Claims_Percent,AvgClaimDuration,Avg_Cost,Avg_Age,Gender1,Gender2,Race1,Race2,Race3,Race5,ChronicCond_Alzheimer_1,ChronicCond_Alzheimer_2,ChronicCond_KidneyDisease_1,ChronicCond_KidneyDisease_2,ChronicCond_Cancer_1,ChronicCond_Cancer_2,ChronicCond_ObstrPulmonary_1,ChronicCond_ObstrPulmonary_2,ChronicCond_Depression_1,ChronicCond_Depression_2,ChronicCond_Diabetes_1,ChronicCond_Diabetes_2,ChronicCond_IschemicHeart_1,ChronicCond_IschemicHeart_2,ChronicCond_Osteoporasis_1,ChronicCond_Osteoporasis_2,ChronicCond_rheumatoidarthritis_1,ChronicCond_rheumatoidarthritis_2,ChronicCond_stroke_1,ChronicCond_stroke_2,PotentialFraud,NetworkDegree,isFraudConnected,NoPhysicianCount,FraudNeighbor_Count
PRV51001,14,24,1.71,25,1.79,Both_Service,1,0,0,5.0,20.0,0.2,0.8,0.0,0.0,1.44,4399.2,78,9.0,15.0,20.0,4.0,0.0,0.0,14.0,10.0,17.0,7.0,5.0,19.0,9.0,15.0,9.0,15.0,20.0,4.0,22.0,2.0,6.0,18.0,8.0,16.0,5.0,19.0,No,2.0,0.0,0.0,0.0
PRV51003,44,117,2.66,132,3.0,Both_Service,1,0,0,62.0,70.0,0.47,0.53,0.0,0.0,3.6742424242424243,5090.575757575758,68,49.0,68.0,94.0,22.0,0.0,1.0,44.0,73.0,52.0,65.0,10.0,107.0,33.0,84.0,47.0,70.0,87.0,30.0,99.0,18.0,28.0,89.0,32.0,85.0,9.0,108.0,Yes,1.0,0.0,0.0,0.0
PRV51004,38,138,3.63,149,3.92,Outpatient,0,0,1,0.0,149.0,0.0,1.0,0.0,0.0,1.429530201342282,352.2147651006711,72,45.0,93.0,113.0,20.0,5.0,0.0,60.0,78.0,47.0,91.0,16.0,122.0,37.0,101.0,60.0,78.0,96.0,42.0,98.0,40.0,43.0,95.0,41.0,97.0,16.0,122.0,No,3.0,0.0,0.0,0.0
PRV51005,6,495,82.5,1165,194.17,Outpatient,0,0,1,0.0,1165.0,0.0,1.0,4.0,0.0,1.088412017167382,244.30042918454936,70,208.0,287.0,382.0,110.0,3.0,0.0,165.0,330.0,178.0,317.0,59.0,436.0,105.0,390.0,184.0,311.0,314.0,181.0,347.0,148.0,142.0,353.0,127.0,368.0,39.0,456.0,Yes,0.0,0.0,2.0,0.0
PRV51007,10,58,5.8,72,7.2,Both_Service,1,0,0,3.0,69.0,0.04,0.96,0.0,0.0,0.9583333333333334,513.5277777777778,67,27.0,31.0,47.0,11.0,0.0,0.0,21.0,37.0,17.0,41.0,6.0,52.0,12.0,46.0,21.0,37.0,36.0,22.0,40.0,18.0,17.0,41.0,16.0,42.0,9.0,49.0,No,5.0,1.0,0.0,1.0
PRV51008,10,36,3.6,43,4.3,Both_Service,1,0,0,2.0,41.0,0.05,0.95,0.0,0.0,1.5348837209302326,882.4651162790698,74,16.0,20.0,28.0,8.0,0.0,0.0,14.0,22.0,13.0,23.0,8.0,28.0,8.0,28.0,10.0,26.0,25.0,11.0,29.0,7.0,11.0,25.0,6.0,30.0,2.0,34.0,No,1.0,1.0,0.0,1.0
PRV51011,28,53,1.89,58,2.07,Both_Service,1,0,0,1.0,57.0,0.02,0.98,0.0,0.0,0.5517241379310345,310.3103448275862,73,24.0,29.0,46.0,7.0,0.0,0.0,23.0,30.0,22.0,31.0,4.0,49.0,18.0,35.0,27.0,26.0,37.0,16.0,41.0,12.0,18.0,35.0,14.0,39.0,2.0,51.0,No,11.0,1.0,0.0,1.0
PRV51012,14,31,2.21,48,3.43,Outpatient,0,0,1,0.0,48.0,0.0,1.0,0.0,0.0,3.7083333333333335,353.9583333333333,75,8.0,23.0,25.0,6.0,0.0,0.0,10.0,21.0,13.0,18.0,3.0,28.0,12.0,19.0,10.0,21.0,19.0,12.0,23.0,8.0,13.0,18.0,13.0,18.0,3.0,28.0,No,7.0,1.0,1.0,2.0
PRV51013,9,44,4.89,46,5.11,Outpatient,0,0,1,0.0,46.0,0.0,1.0,0.0,0.0,1.4565217391304348,328.4782608695652,74,12.0,32.0,41.0,3.0,0.0,0.0,15.0,29.0,17.0,27.0,4.0,40.0,16.0,28.0,17.0,27.0,36.0,8.0,34.0,10.0,11.0,33.0,16.0,28.0,2.0,42.0,No,0.0,0.0,0.0,0.0
PRV51014,7,25,3.57,30,4.29,Outpatient,0,0,1,0.0,30.0,0.0,1.0,0.0,0.0,0.4666666666666667,353.3333333333333,71,7.0,18.0,22.0,3.0,0.0,0.0,11.0,14.0,12.0,13.0,2.0,23.0,7.0,18.0,7.0,18.0,15.0,10.0,17.0,8.0,4.0,21.0,9.0,16.0,3.0,22.0,No,3.0,0.0,1.0,0.0
