Provider,NetworkDegree,isFraudConnected,NoPhysicianCount
PRV51086,3.0,0.0,0.0
PRV52405,2.0,0.0,0.0
PRV51419,2.0,0.0,0.0
PRV51710,5.0,0.0,0.0
PRV53374,3.0,0.0,0.0
PRV56490,2.0,0.0,0.0
PRV57341,5.0,1.0,0.0
PRV57345,3.0,1.0,0.0
PRV56559,1.0,0.0,2.0
PRV55396,2.0,0.0,0.0
PRV51891,2.0,0.0,0.0
PRV51868,6.0,1.0,1.0
PRV52150,6.0,0.0,0.0
PRV52120,2.0,1.0,0.0
PRV52038,3.0,0.0,0.0
PRV52130,4.0,0.0,0.0
PRV54653,2.0,0.0,0.0
PRV54644,4.0,1.0,0.0
PRV54384,4.0,0.0,0.0
PRV54399,6.0,1.0,0.0
PRV52985,5.0,1.0,3.0
PRV52989,2.0,1.0,0.0
PRV55165,11.0,1.0,1.0
PRV52617,2.0,0.0,0.0
PRV52689,1.0,0.0,0.0
PRV53635,2.0,0.0,0.0
PRV53614,2.0,0.0,0.0
PRV55813,1.0,0.0,0.0
PRV55687,5.0,0.0,0.0
PRV51336,1.0,0.0,0.0
PRV51456,4.0,0.0,0.0
PRV52144,3.0,0.0,0.0
PRV52152,4.0,0.0,0.0
PRV56773,2.0,0.0,1.0
PRV57054,1.0,0.0,1.0
PRV56570,2.0,0.0,0.0
PRV56668,1.0,1.0,0.0
PRV57549,3.0,0.0,0.0
PRV57514,5.0,0.0,0.0
PRV57548,7.0,1.0,0.0
PRV55435,2.0,1.0,2.0
PRV55510,12.0,0.0,2.0
PRV53242,12.0,1.0,1.0
PRV53269,7.0,1.0,1.0
PRV56647,5.0,1.0,1.0
PRV56560,2.0,1.0,6.0
PRV54680,1.0,1.0,0.0
PRV54675,1.0,1.0,0.0
PRV57415,4.0,0.0,0.0
PRV57406,5.0,0.0,0.0
PRV57436,4.0,0.0,0.0
PRV57605,2.0,0.0,0.0
PRV57523,5.0,0.0,1.0
PRV54723,5.0,0.0,0.0
PRV54772,3.0,1.0,7.0
PRV56896,1.0,0.0,0.0
PRV57711,1.0,0.0,0.0
PRV56583,1.0,0.0,0.0
PRV56734,3.0,0.0,0.0
PRV52119,2.0,1.0,0.0
PRV52019,17.0,1.0,5.0
PRV55755,3.0,0.0,0.0
PRV55680,1.0,0.0,0.0
PRV57697,3.0,1.0,0.0
PRV56574,3.0,0.0,0.0
PRV56749,6.0,0.0,0.0
PRV52199,3.0,0.0,0.0
PRV52065,7.0,1.0,1.0
PRV52289,1.0,0.0,0.0
PRV52020,5.0,1.0,1.0
PRV51418,3.0,0.0,0.0
PRV51566,1.0,0.0,0.0
PRV56621,4.0,0.0,0.0
PRV51232,1.0,0.0,0.0
PRV51238,1.0,0.0,0.0
PRV55690,9.0,0.0,0.0
PRV55812,1.0,1.0,0.0
PRV56914,1.0,0.0,0.0
PRV56777,3.0,0.0,0.0
PRV54902,1.0,0.0,0.0
PRV54990,1.0,0.0,0.0
PRV51356,7.0,0.0,0.0
PRV51676,5.0,0.0,0.0
PRV51355,5.0,0.0,0.0
PRV55783,1.0,0.0,0.0
PRV55808,1.0,0.0,0.0
PRV54390,6.0,0.0,0.0
PRV54359,6.0,1.0,1.0
PRV56870,1.0,0.0,0.0
PRV57715,1.0,0.0,2.0
PRV52014,6.0,0.0,1.0
PRV52126,2.0,0.0,0.0
PRV56270,4.0,0.0,2.0
PRV56225,1.0,1.0,1.0
PRV55172,3.0,1.0,0.0
PRV57172,6.0,1.0,5.0
PRV57096,1.0,1.0,0.0
PRV57081,1.0,0.0,0.0
PRV57082,1.0,0.0,0.0
PRV57023,1.0,0.0,0.0
PRV56249,2.0,1.0,3.0
PRV56306,1.0,0.0,0.0
PRV51421,3.0,1.0,1.0
PRV51371,3.0,0.0,1.0
PRV51025,6.0,0.0,1.0
PRV51012,7.0,0.0,1.0
PRV51077,4.0,1.0,0.0
PRV56519,2.0,0.0,0.0
PRV56469,13.0,0.0,1.0
PRV56458,9.0,0.0,0.0
PRV51120,1.0,0.0,0.0
PRV56580,4.0,0.0,0.0
PRV51146,7.0,1.0,1.0
PRV51171,3.0,0.0,0.0
PRV51444,2.0,0.0,0.0
PRV57103,4.0,1.0,2.0
PRV55983,1.0,0.0,0.0
PRV56007,2.0,1.0,0.0
PRV54324,1.0,0.0,0.0
PRV54262,1.0,0.0,0.0
PRV52112,2.0,0.0,0.0
PRV52128,3.0,0.0,0.0
PRV51647,2.0,0.0,0.0
PRV51425,2.0,0.0,0.0
PRV55911,2.0,1.0,0.0
PRV56020,4.0,0.0,0.0
PRV52687,6.0,0.0,0.0
PRV52800,2.0,0.0,0.0
PRV55243,9.0,0.0,1.0
PRV55175,14.0,0.0,0.0
PRV55169,12.0,0.0,0.0
PRV55354,2.0,0.0,0.0
PRV55351,2.0,0.0,0.0
PRV52575,5.0,0.0,0.0
PRV52722,1.0,0.0,0.0
PRV54375,6.0,0.0,0.0
PRV54381,12.0,0.0,1.0
PRV56985,3.0,0.0,0.0
PRV53164,1.0,0.0,0.0
PRV53117,4.0,0.0,0.0
PRV55676,10.0,1.0,0.0
PRV55971,2.0,1.0,0.0
PRV56012,1.0,1.0,0.0
PRV57335,3.0,1.0,1.0
PRV57401,1.0,0.0,0.0
PRV56017,1.0,0.0,0.0
PRV56058,2.0,0.0,0.0
PRV56576,1.0,0.0,1.0
PRV52290,2.0,0.0,0.0
PRV53441,2.0,0.0,0.0
PRV53465,2.0,0.0,0.0
PRV56897,2.0,0.0,0.0
PRV56562,5.0,0.0,1.0
PRV57340,3.0,0.0,0.0
PRV57332,3.0,0.0,0.0
PRV54910,11.0,0.0,2.0
PRV55030,5.0,1.0,0.0
PRV52976,1.0,0.0,0.0
PRV52847,2.0,1.0,0.0
PRV52074,3.0,0.0,2.0
PRV52123,4.0,1.0,0.0
PRV53239,8.0,0.0,0.0
PRV52843,6.0,1.0,0.0
PRV57284,1.0,1.0,0.0
PRV57208,7.0,0.0,0.0
PRV52829,3.0,0.0,1.0
PRV52842,1.0,0.0,1.0
PRV54250,1.0,0.0,0.0
PRV54228,4.0,0.0,1.0
PRV52325,4.0,1.0,0.0
PRV52387,3.0,0.0,0.0
PRV56454,8.0,0.0,0.0
PRV56433,2.0,0.0,0.0
PRV56481,7.0,1.0,1.0
PRV57312,1.0,1.0,1.0
PRV57369,5.0,0.0,0.0
PRV52303,7.0,0.0,0.0
PRV52422,1.0,0.0,0.0
PRV54898,1.0,0.0,0.0
PRV54973,6.0,0.0,0.0
PRV57429,2.0,0.0,1.0
PRV57481,2.0,1.0,0.0
PRV51362,1.0,0.0,1.0
PRV51516,5.0,0.0,0.0
PRV53142,8.0,1.0,1.0
PRV53120,8.0,0.0,0.0
PRV55173,1.0,0.0,0.0
PRV56235,16.0,0.0,1.0
PRV56895,1.0,0.0,0.0
PRV56684,6.0,0.0,0.0
PRV51266,3.0,0.0,0.0
PRV51252,5.0,0.0,0.0
PRV51434,2.0,1.0,2.0
PRV51640,1.0,0.0,0.0
PRV54089,1.0,0.0,0.0
PRV54078,4.0,0.0,1.0
PRV52913,5.0,0.0,0.0
PRV51431,2.0,0.0,1.0
PRV51403,4.0,0.0,0.0
PRV55516,2.0,0.0,0.0
PRV55490,3.0,0.0,0.0
PRV55715,1.0,1.0,3.0
PRV55749,2.0,0.0,0.0
PRV56877,3.0,1.0,0.0
PRV52141,4.0,0.0,2.0
PRV52118,4.0,0.0,0.0
PRV56748,1.0,1.0,2.0
PRV56769,2.0,0.0,0.0
PRV52032,6.0,1.0,1.0
PRV52041,1.0,1.0,7.0
PRV56210,2.0,0.0,0.0
PRV56208,2.0,0.0,1.0
PRV55907,5.0,0.0,0.0
PRV55933,2.0,0.0,0.0
PRV57200,2.0,0.0,0.0
PRV57225,6.0,0.0,0.0
PRV55849,1.0,1.0,0.0
PRV55875,1.0,0.0,0.0
PRV51823,1.0,0.0,0.0
PRV51508,3.0,0.0,0.0
PRV57209,12.0,1.0,2.0
